2026-08-17 00:30:24.528 [background-preinit] INFO  o.h.validator.internal.util.Version [] - HV000001: Hibernate Validator 8.0.2.Final
2026-08-17 00:30:24.673 [main] INFO  com.ems.EmsBackendApplication [] - Starting EmsBackendApplication using Java 21.0.12 with PID 40295 (/Users/vignesh/ems/EMS_SERVICES/target/classes started by vignesh in /Users/vignesh/ems/EMS_SERVICES)
2026-08-17 00:30:24.674 [main] INFO  com.ems.EmsBackendApplication [] - The following 1 profile is active: "postgresql"
2026-08-17 00:30:27.872 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [] - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-08-17 00:30:28.084 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [] - Finished Spring Data repository scanning in 188 ms. Found 17 JPA repository interfaces.
2026-08-17 00:30:30.282 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer [] - Tomcat initialized with port 8080 (http)
2026-08-17 00:30:30.318 [main] INFO  o.a.coyote.http11.Http11NioProtocol [] - Initializing ProtocolHandler ["http-nio-8080"]
2026-08-17 00:30:30.323 [main] INFO  o.a.catalina.core.StandardService [] - Starting service [Tomcat]
2026-08-17 00:30:30.324 [main] INFO  o.a.catalina.core.StandardEngine [] - Starting Servlet engine: [Apache Tomcat/10.1.34]
2026-08-17 00:30:30.491 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] [] - Initializing Spring embedded WebApplicationContext
2026-08-17 00:30:30.491 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext [] - Root WebApplicationContext: initialization completed in 5715 ms
2026-08-17 00:30:32.033 [main] INFO  com.zaxxer.hikari.HikariDataSource [] - HikariPool-1 - Starting...
2026-08-17 00:30:33.691 [main] INFO  com.zaxxer.hikari.pool.HikariPool [] - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@19677add
2026-08-17 00:30:33.694 [main] INFO  com.zaxxer.hikari.HikariDataSource [] - HikariPool-1 - Start completed.
2026-08-17 00:30:33.866 [main] INFO  org.flywaydb.core.FlywayExecutor [] - Database: jdbc:postgresql://ep-shiny-dew-azddlrs7-pooler.c-3.ap-southeast-1.aws.neon.tech/neondb (PostgreSQL 18.4)
2026-08-17 00:30:34.256 [main] WARN  o.f.c.i.database.base.Database [] - Flyway upgrade recommended: PostgreSQL 18.4 is newer than this version of Flyway and support has not been tested. The latest supported version of PostgreSQL is 16.
2026-08-17 00:30:34.659 [main] INFO  o.f.core.internal.command.DbValidate [] - Successfully validated 25 migrations (execution time 00:00.328s)
2026-08-17 00:30:35.302 [main] INFO  o.f.core.internal.command.DbMigrate [] - Current version of schema "public": 25
2026-08-17 00:30:35.369 [main] INFO  o.f.core.internal.command.DbMigrate [] - Schema "public" is up to date. No migration necessary.
2026-08-17 00:30:35.877 [main] INFO  o.h.jpa.internal.util.LogHelper [] - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-08-17 00:30:36.124 [main] INFO  org.hibernate.Version [] - HHH000412: Hibernate ORM core version 6.5.3.Final
2026-08-17 00:30:36.239 [main] INFO  o.h.c.i.RegionFactoryInitiator [] - HHH000026: Second-level cache disabled
2026-08-17 00:30:37.347 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo [] - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-08-17 00:30:37.644 [main] WARN  org.hibernate.orm.deprecation [] - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-08-17 00:30:40.866 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator [] - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-08-17 00:30:45.582 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean [] - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-08-17 00:30:46.287 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory [] - Hibernate is in classpath; If applicable, HQL parser will be used.
2026-08-17 00:30:49.252 [main] INFO  o.s.s.c.a.a.c.InitializeAuthenticationProviderBeanManagerConfigurer$InitializeAuthenticationProviderManagerConfigurer [] - Global AuthenticationManager configured with AuthenticationProvider bean with name authenticationProvider
2026-08-17 00:30:49.254 [main] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer [] - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used for username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider.
2026-08-17 00:30:51.431 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver [] - Exposing 6 endpoints beneath base path '/actuator'
2026-08-17 00:30:53.052 [main] INFO  o.a.coyote.http11.Http11NioProtocol [] - Starting ProtocolHandler ["http-nio-8080"]
2026-08-17 00:30:53.100 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer [] - Tomcat started on port 8080 (http) with context path '/'
2026-08-17 00:30:53.126 [main] INFO  com.ems.EmsBackendApplication [] - Started EmsBackendApplication in 30.017 seconds (process running for 30.921)
2026-08-17 00:38:18.175 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown [] - Commencing graceful shutdown. Waiting for active requests to complete
